Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Cooling CFM,Cooling Tons,Heating CFM,Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Total Cooling Load,Instant Sensible Heating,Delay Sensible Heating,Latent Heating,Total Heating Load
Room 06-25,190,1372.0,2.00,20,20,112,0.21,112,1288,1061,225,2574,-696,-290,0,-993,
Room 06-26,199,1443.3,2.00,21,21,114,0.22,114,1313,1078,224,2615,-706,-334,0,-1047,
Room 06-27,198,1434.5,2.00,21,21,110,0.22,110,1323,1000,258,2580,-697,-723,0,-1428,
Room 06-28,148,1055.9,0.12,0,0,39,0.07,39,423,405,49,877,-524,-73,0,-601,
Room 07-00,904,6407.1,0.80,48,48,279,0.49,279,1902,3975,53,5931,-363,-2327,0,-2706,
Room 07-01,209,1520.6,2.00,21,21,127,0.24,127,1254,1429,255,2938,-727,-1080,0,-1816,
Room 07-02,196,1418.9,2.00,21,21,126,0.24,126,1205,1443,252,2899,-720,-638,0,-1366,
Room 07-03,200,1447.5,2.00,21,21,127,0.24,127,1215,1463,252,2930,-724,-631,0,-1363,
Room 07-04,194,1404.5,2.00,21,21,125,0.24,125,1200,1440,252,2892,-718,-609,0,-1335,
Room 07-05,198,1433.1,2.00,21,21,126,0.24,126,1210,1452,252,2914,-722,-620,0,-1350,
Room 07-06,196,1418.9,2.00,21,21,126,0.24,126,1205,1440,252,2897,-720,-610,0,-1338,
Room 07-07,198,1433.1,2.00,21,21,126,0.24,126,1210,1448,252,2910,-722,-616,0,-1347,
Room 07-08,192,1390.0,2.00,20,20,124,0.24,124,1195,1425,252,2871,-716,-596,0,-1320,
Room 07-09,201,1462.0,2.00,21,21,127,0.24,127,1220,1461,252,2934,-727,-632,0,-1366,
Room 07-10,200,1453.2,2.00,21,21,127,0.24,127,1217,1454,252,2923,-725,-660,0,-1392,
Room 07-11,145,1028.7,1.20,0,0,92,0.19,92,1098,835,299,2232,-576,-764,0,-1340,
Room 07-12,290,2129.1,2.00,26,26,162,0.31,162,1557,1862,266,3685,-1382,-1325,0,-2719,
Room 07-13,537,4010.7,0.47,0,0,174,0.31,174,1626,2039,75,3739,-1993,-1031,0,-3036,
Room 07-14,196,1418.6,0.16,0,0,65,0.12,65,567,799,27,1392,-705,-419,0,-1128,
Room 07-15,130,920.7,1.07,0,0,50,0.11,50,421,621,267,1309,0,-292,0,-292,
Room 07-16,159,1136.4,1.32,0,0,100,0.20,100,1039,1062,330,2431,-1152,-1000,0,-2152,
Room 07-17,203,1476.2,4.30,65,65,143,0.27,143,1504,1502,178,3185,-397,-430,0,-837,
Room 07-18,208,1516.1,2.00,21,21,126,0.24,126,1342,1310,263,2915,-705,-1079,0,-1792,
Room 07-19,193,1400.6,2.00,21,21,124,0.24,124,1289,1327,228,2843,-695,-635,0,-1338,
Room 07-20,197,1428.8,2.00,21,21,126,0.24,126,1298,1344,227,2870,-699,-628,0,-1335,
Room 07-21,192,1386.1,2.00,20,20,124,0.24,124,1284,1328,228,2840,-693,-606,0,-1307,
Room 07-22,195,1414.7,2.00,21,21,125,0.24,125,1294,1340,228,2861,-697,-617,0,-1322,
Room 07-23,193,1400.6,2.00,21,21,125,0.24,125,1289,1334,228,2850,-695,-606,0,-1310,
Room 07-24,195,1414.7,2.00,21,21,125,0.24,125,1294,1340,228,2862,-697,-613,0,-1318,
Room 07-25,190,1372.0,2.00,20,20,124,0.24,124,1279,1323,228,2830,-691,-594,0,-1293,
Room 07-26,199,1443.3,2.00,21,21,126,0.24,126,1315,1335,262,2912,-701,-650,0,-1359,
Room 07-27,198,1434.5,2.00,21,21,122,0.24,122,1314,1249,261,2824,-693,-1035,0,-1737,
Room 07-28,148,1055.9,0.12,0,0,52,0.09,52,422,678,20,1120,-525,-313,0,-841,
Room 07-29,698,4837.8,0.60,36,36,293,0.52,293,2576,3600,42,6217,-1075,-1796,0,-2884,
Room B1-00,0,1885.8,1.64,0,0,56,0.13,56,647,535,411,1592,0,-545,0,-545,
Room B1-02,0,1922.2,1.67,0,0,57,0.13,57,659,540,418,1618,0,-525,0,-525,
Room B1-04,0,35157.9,0.00,198,198,605,1.03,605,6162,6586,-426,12322,1024,-4093,0,-3105,
Room B1-05,0,1602.2,0.70,13,13,55,0.11,55,577,585,116,1279,-728,-302,0,-1037,
Room B1-06,0,1464.1,0.64,11,11,51,0.10,51,528,552,107,1186,-665,-286,0,-958,
Room B1-07,0,1582.5,0.69,12,12,54,0.10,54,570,572,115,1257,-719,-403,0,-1130,
Room B1-08,0,3547.0,1.55,28,28,108,0.21,108,1278,994,248,2521,-1612,-311,0,-1938,
Room B1-09,0,1202.1,1.05,0,0,39,0.09,39,412,404,262,1078,0,-128,0,-128,
Room B1-10,0,1025.9,0.45,8,8,34,0.07,34,370,348,74,791,-466,-134,0,-605,
Room B1-11,0,2418.0,1.05,19,19,75,0.15,75,871,700,170,1742,-1099,-425,0,-1535,
Room B1-12,0,10308.0,0.00,58,58,170,0.29,170,1807,1771,-123,3455,300,-1568,0,-1281,
T005 Telecom,207,2003.8,0.00,0,0,1989,3.49,1989,41138,742,0,41880,0,-199,0,-199,
V001 Elevators,111,1034.7,0.90,0,0,35,0.08,35,355,384,225,964,0,-62,0,-62,
Z001 Stair,200,1922.2,1.67,0,0,62,0.14,62,659,656,418,1733,0,-869,0,-869,
Z002 Stair,196,1885.8,1.64,0,0,68,0.15,68,647,785,411,1842,0,-1292,0,-1292,
