Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Coling Tons, Cooling CFM,Total Cooling Load (Btu/h),Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Heating CFM,Total Heating Load (Btu/h),Instant Sensible Heating,Delay Sensible Heating,Latent Heating
Room 05-03,200.0,1447.5,2.0,21.0,21.0,0.21,106.0,2480.0,1225.0,1011.0,244.0,106.0,-1012.0,-728.0,-277.0,0.0
Room 05-04,194.0,1404.5,2.0,21.0,21.0,0.2,105.0,2450.0,1210.0,997.0,244.0,105.0,-993.0,-722.0,-264.0,0.0
Room 05-05,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2470.0,1220.0,1007.0,244.0,106.0,-1005.0,-726.0,-271.0,0.0
Room 05-06,196.0,1418.9,2.0,21.0,21.0,0.2,105.0,2460.0,1215.0,1001.0,244.0,105.0,-999.0,-724.0,-267.0,0.0
Room 05-07,198.0,1433.1,2.0,21.0,21.0,0.21,106.0,2471.0,1220.0,1007.0,244.0,106.0,-1005.0,-726.0,-271.0,0.0
Room 05-08,192.0,1390.0,2.0,20.0,20.0,0.2,104.0,2440.0,1205.0,992.0,244.0,104.0,-987.0,-720.0,-260.0,0.0
Room 05-09,201.0,1462.0,2.0,21.0,21.0,0.21,107.0,2489.0,1230.0,1016.0,244.0,107.0,-1019.0,-730.0,-281.0,0.0
Room 05-10,200.0,1453.2,2.0,21.0,21.0,0.21,106.0,2485.0,1227.0,1014.0,244.0,106.0,-1048.0,-728.0,-312.0,0.0
Room 05-11,145.0,1028.7,1.2,0,0,0.17,81.0,2005.0,1109.0,598.0,299.0,81.0,-1087.0,-575.0,-512.0,0.0
Room 05-12,290.0,2129.1,2.0,26.0,26.0,0.27,139.0,3191.0,1571.0,1361.0,259.0,139.0,-2242.0,-1389.0,-842.0,0.0
Room 05-13,537.0,4010.7,0.47,0,0,0.25,134.0,3013.0,1629.0,1200.0,184.0,134.0,-2192.0,-1991.0,-191.0,0.0
Room 05-14,196.0,1418.6,0.16,0,0,0.09,49.0,1100.0,576.0,459.0,65.0,49.0,-799.0,-704.0,-91.0,0.0
Room 05-15,130.0,920.7,1.07,0,0,0.09,38.0,1061.0,421.0,372.0,267.0,38.0,-56.0,0.0,-56.0,0.0
Room 05-16,159.0,1136.4,1.32,0,0,0.18,86.0,2133.0,1254.0,549.0,330.0,86.0,-1879.0,-1151.0,-728.0,0.0
Room 05-17,203.0,1476.2,4.3,65.0,65.0,0.23,121.0,2754.0,1506.0,1050.0,198.0,121.0,-478.0,-396.0,-77.0,0.0
Room 05-18,208.0,1516.1,2.0,21.0,21.0,0.22,114.0,2665.0,1353.0,1053.0,259.0,114.0,-1432.0,-708.0,-715.0,0.0
Room 05-19,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2595.0,1300.0,1071.0,225.0,113.0,-998.0,-699.0,-292.0,0.0
Room 05-20,197.0,1428.8,2.0,21.0,21.0,0.22,114.0,2617.0,1310.0,1083.0,225.0,114.0,-988.0,-703.0,-278.0,0.0
Room 05-21,192.0,1386.1,2.0,20.0,20.0,0.22,112.0,2589.0,1295.0,1069.0,225.0,112.0,-969.0,-697.0,-264.0,0.0
Room 05-22,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2608.0,1305.0,1079.0,225.0,113.0,-980.0,-701.0,-272.0,0.0
Room 05-23,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2599.0,1300.0,1074.0,225.0,113.0,-974.0,-699.0,-268.0,0.0
Room 05-24,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2609.0,1305.0,1079.0,225.0,113.0,-981.0,-701.0,-272.0,0.0
Room 05-25,190.0,1372.0,2.0,20.0,20.0,0.21,112.0,2580.0,1290.0,1065.0,225.0,112.0,-964.0,-695.0,-262.0,0.0
Room 05-26,199.0,1443.3,2.0,21.0,21.0,0.22,114.0,2621.0,1315.0,1082.0,224.0,114.0,-1017.0,-705.0,-305.0,0.0
Room 05-27,198.0,1434.5,2.0,21.0,21.0,0.22,110.0,2581.0,1324.0,1000.0,258.0,110.0,-1400.0,-696.0,-696.0,0.0
Room 05-28,148.0,1055.9,0.12,0,0,0.07,39.0,875.0,429.0,397.0,49.0,39.0,-576.0,-524.0,-49.0,0.0
Room 06-00,1602.0,11290.1,1.41,85.0,85.0,0.75,422.0,8985.0,4456.0,4438.0,91.0,422.0,-2809.0,-1465.0,-1321.0,0.0
Room 06-01,209.0,1520.6,2.0,21.0,21.0,0.21,109.0,2538.0,1261.0,1029.0,248.0,109.0,-1486.0,-732.0,-746.0,0.0
Room 06-02,196.0,1418.9,2.0,21.0,21.0,0.21,106.0,2469.0,1213.0,1013.0,244.0,106.0,-1053.0,-725.0,-321.0,0.0
